price,log_price,price_per_person,has_wireless_internet,has_heating,has_kitchen,has_essentials,has_smoke_detector,has_air_conditioning,has_tv,has_internet,has_washer,has_dryer
135.0,4.912654885736052,67.5,1,1,1,1,1,1,1,1,0,0
75.0,4.330733340286331,37.5,1,1,0,1,1,0,1,1,1,1
189.0,5.247024072160486,37.8,1,1,0,1,1,1,1,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,0,0,0,1,1
55.0,4.02535169073515,27.5,1,1,1,1,1,0,1,0,1,1
125.0,4.836281906951478,62.5,1,1,1,1,1,1,1,0,0,0
88.0,4.48863636973214,88.0,1,1,1,1,1,1,1,1,1,1
72.0,4.290459441148391,72.0,1,1,1,0,1,0,0,1,0,0
22.0,3.1354942159291497,22.0,1,1,1,1,1,0,1,0,1,1
90.0,4.51085950651685,45.0,1,1,0,1,1,0,1,1,1,1
150.0,5.017279836814924,75.0,0,1,1,0,1,0,1,0,1,1
82.0,4.418840607796598,41.0,1,1,1,1,1,0,1,1,1,1
84.0,4.442651256490317,42.0,1,1,1,1,1,0,1,1,1,1
160.0,5.081404364984463,40.0,0,1,1,1,1,1,0,0,1,1
110.0,4.709530201312334,27.5,1,1,1,0,1,0,1,1,1,1
150.0,5.017279836814924,37.5,1,1,1,1,0,1,1,1,1,1
80.0,4.394449154672439,40.0,1,1,1,1,1,1,1,1,1,1
225.0,5.420534999272286,45.0,1,1,1,1,1,1,1,1,1,1
65.0,4.189654742026425,32.5,1,1,1,0,1,0,1,1,1,1
275.0,5.62040086571715,34.375,1,1,1,1,1,0,1,1,1,1
300.0,5.707110264748875,37.5,1,1,1,1,1,1,1,1,1,1
185.0,5.225746673713202,37.0,1,1,1,0,1,0,0,0,0,0
175.0,5.170483995038151,43.75,1,1,1,1,1,1,1,1,0,0
175.0,5.170483995038151,35.0,0,1,1,1,1,1,0,0,0,0
75.0,4.330733340286331,37.5,1,1,1,1,1,1,1,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,1,1,1
100.0,4.61512051684126,33.333333333333336,1,1,1,1,1,0,1,1,1,0
75.0,4.330733340286331,75.0,1,1,1,1,1,0,0,1,0,0
94.0,4.553876891600541,47.0,1,1,0,1,1,1,1,1,0,0
85.0,4.454347296253507,42.5,1,1,0,1,1,1,0,1,0,0
83.0,4.430816798843313,41.5,1,1,1,1,1,0,0,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,1,1,1,1,1
168.0,5.1298987149230735,28.0,1,1,1,1,1,1,1,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,1,1,1
135.0,4.912654885736052,67.5,1,1,1,1,1,1,1,1,0,0
119.0,4.787491742782046,59.5,1,1,1,1,1,1,0,0,1,1
275.0,5.62040086571715,55.0,1,1,1,1,1,1,1,0,1,1
130.0,4.875197323201151,65.0,1,1,1,1,1,0,0,1,0,0
160.0,5.081404364984463,53.333333333333336,1,1,1,1,1,1,1,1,1,1
65.0,4.189654742026425,65.0,1,1,1,1,1,0,1,1,1,1
77.0,4.356708826689592,19.25,1,1,1,1,1,1,0,0,1,1
71.0,4.276666119016055,35.5,1,1,1,1,1,0,1,1,0,0
200.0,5.303304908059076,100.0,1,1,1,1,1,1,1,1,1,1
55.0,4.02535169073515,27.5,1,1,1,1,1,1,1,1,1,1
95.0,4.564348191467836,47.5,1,1,1,1,1,1,0,1,1,1
220.0,5.3981627015177525,55.0,1,1,1,1,1,1,1,1,1,1
54.0,4.007333185232471,27.0,1,1,1,1,1,1,0,1,1,1
72.0,4.290459441148391,24.0,1,1,1,1,1,0,0,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,0,1,1,1,1
135.0,4.912654885736052,33.75,1,1,1,1,0,1,1,0,0,0
300.0,5.707110264748875,50.0,1,1,1,1,1,0,1,1,1,1
110.0,4.709530201312334,55.0,1,1,1,1,1,1,0,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,1,0,1,1
75.0,4.330733340286331,75.0,1,1,1,1,1,0,0,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,0,1,1,1
88.0,4.48863636973214,44.0,1,1,1,1,1,0,1,0,1,1
480.0,6.175867270105761,40.0,1,1,1,1,1,1,1,1,1,1
550.0,6.311734809152915,61.111111111111114,1,1,1,1,1,1,1,1,1,1
180.0,5.198497031265826,45.0,1,1,1,1,1,1,1,0,1,1
325.0,5.786897381366708,65.0,1,1,1,1,1,1,1,1,1,1
65.0,4.189654742026425,65.0,1,1,1,1,1,1,0,0,1,1
290.0,5.673323267171493,72.5,1,1,1,0,1,1,1,1,0,0
159.0,5.075173815233827,39.75,1,1,1,0,1,1,0,0,1,1
200.0,5.303304908059076,100.0,1,1,1,1,1,1,0,1,1,1
95.0,4.564348191467836,47.5,1,1,0,1,1,1,1,1,0,0
65.0,4.189654742026425,32.5,1,1,1,1,1,1,1,1,1,1
