ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,listing_id
2016-12-23,300.0,299.9999996138017,300.0000003940358,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-24,300.0,299.99999959373235,300.00000036948927,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-25,300.0,299.9999996003031,300.00000037625875,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-26,300.0,299.99999959348565,300.00000036839054,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-27,300.0,299.99999963908147,300.0000003806746,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-28,300.0,299.99999964014086,300.0000003846082,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-29,300.0,299.99999961022564,300.00000040035724,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-30,300.0,299.99999962120353,300.00000039843184,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-31,300.0,299.9999995930042,300.0000003592975,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-01,300.0,299.99999960637155,300.00000037934245,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-02,300.0,299.99999959710004,300.00000038243223,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-03,300.0,299.9999996041373,300.0000003931952,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-04,300.0,299.99999960500173,300.00000036523875,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-05,300.0,299.9999996218297,300.0000003759884,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-06,300.0,299.9999996325761,300.0000003704163,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-07,300.0,299.9999996157138,300.00000038131617,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-08,300.0,299.9999996034173,300.0000003790759,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-09,300.0,299.9999996458954,300.0000003930995,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-10,300.0,299.9999996437156,300.00000039316194,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-11,300.0,299.9999996108581,300.0000004090059,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-12,300.0,299.9999996102996,300.00000038104685,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-13,300.0,299.99999961127946,300.00000041571354,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-14,300.0,299.99999961921606,300.0000003736626,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-15,300.0,299.9999996229599,300.0000004147604,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-16,300.0,299.9999995856401,300.00000037687187,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-17,300.0,299.9999995865255,300.00000038952436,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-18,300.0,299.9999996095108,300.0000003749023,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-19,300.0,299.999999606782,300.000000370471,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-20,300.0,299.99999962241554,300.0000003729133,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-21,300.0,299.99999960887715,300.00000039702815,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-22,300.0,299.9999995975299,300.00000036763913,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-23,300.0,299.9999996144265,300.0000003934027,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-24,300.0,299.9999996282072,300.0000003808511,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-25,300.0,299.99999961120847,300.0000003923454,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-26,300.0,299.99999963828435,300.0000004197459,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-27,300.0,299.99999963102954,300.0000003724325,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-28,300.0,299.99999961469194,300.0000004057203,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-29,300.0,299.9999996277998,300.0000003978002,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-30,300.0,299.9999995989435,300.0000003846893,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-01-31,300.0,299.9999996006779,300.0000003685606,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-02-01,300.0,299.9999996036082,300.00000038007545,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-02-02,300.0,299.99999963900456,300.00000040055613,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2017-02-03,300.0,299.9999996310291,300.00000038484313,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
